id,title,category,amount,date,isEssential,note
1,Zomato Weekend Dinner,Food,1191.83,2025-01-01,false,Family gourmet pizza and pasta treat (Recorded on 2025-01-01)
2,Apple Store MagSafe Battery,Shopping,9104.99,2025-01-01,false,Official magnetic fast wireless battery pack (Recorded on 2025-01-01)
3,Automobile Ceramic Detailing,Transport,1273.10,2025-01-02,false,Full interior vacuum; engine degrease and wash (Recorded on 2025-01-02)
4,Auto Rickshaw Meter Fare,Transport,87.92,2025-01-02,true,Local city transit to metro station (Recorded on 2025-01-02)
5,Chai & Samosa Corner,Food,61.87,2025-01-02,true,Evening masala tea with team members (Recorded on 2025-01-02)
6,Udemy Masterclass Bootcamp,Learn,1058.37,2025-01-02,true,Full-stack distributed cloud architecture video course (Recorded on 2025-01-02)
7,iCloud / Google Cloud Storage,Bills,650.00,2025-01-02,true,2TB unified encrypted cloud backup subscription (Recorded on 2025-01-02)
8,Starbucks Latte & Croissant,Food,699.07,2025-01-02,false,Meeting client over coffee & cookies (Recorded on 2025-01-02)
9,Airtel 5G Fiber Broadband,Bills,1106.66,2025-01-03,true,1 Gbps symmetrical unlimited high-speed fiber plan (Recorded on 2025-01-03)
10,Apollo Pharmacy Prescription,Health,575.21,2025-01-03,true,Prescription medication; vitamin D3 & omega-3 (Recorded on 2025-01-03)
11,City Mall Parking Fee,Transport,269.50,2025-01-03,false,Multi-level basement underground parking validation (Recorded on 2025-01-03)
12,iCloud / Google Cloud Storage,Bills,650.00,2025-01-03,true,2TB unified encrypted cloud backup subscription (Recorded on 2025-01-03)
13,Friend Wedding / Birthday Gift,Other,3124.13,2025-01-04,false,Custom engraved stainless steel wristwatch with box (Recorded on 2025-01-04)
14,Kindle Technical E-Books,Learn,864.03,2025-01-04,true,Software engineering architecture & financial books (Recorded on 2025-01-04)
15,Physiotherapy Posture Rehab,Health,934.60,2025-01-05,true,Spine and cervical posture rehab therapy session (Recorded on 2025-01-05)
16,Uber Premier Commute,Transport,1078.20,2025-01-05,false,Airport ride terminal 2 business flight (Recorded on 2025-01-05)
17,Electricity Power Utility,Bills,4308.08,2025-01-05,true,Monthly household air conditioning electricity bill (Recorded on 2025-01-05)
18,Automobile Ceramic Detailing,Transport,1839.34,2025-01-05,false,Full interior vacuum; engine degrease and wash (Recorded on 2025-01-05)
