title,category,amount,date,isEssential,note
Swiggy Food Delivery,Food,450.00,2026-08-20,false,Dinner with friends
Supermarket Groceries,Food,1850.00,2026-08-19,true,Weekly groceries and staples
Uber Cab Ride,Transport,320.00,2026-08-19,false,Office commute
Netflix Subscription,Entertainment,649.00,2026-08-15,false,Monthly premium plan
Electricity Bill,Bills,1420.00,2026-08-14,true,Monthly utility payment
Starbucks Cold Brew,Food,380.00,2026-08-18,false,Afternoon coffee
Zara T-Shirt Shopping,Shopping,1999.00,2026-08-16,false,Weekend shopping
Pharmacy & Vitamins,Health,650.00,2026-08-12,true,Monthly medicines
Fuel Petrol Fillup,Transport,1200.00,2026-08-11,true,Bike fuel tank fill
Gym Membership Fee,Health,1500.00,2026-08-05,true,Monthly gym pass
Amazon Electronics Cable,Shopping,499.00,2026-08-08,false,USB-C fast charger
Dining Out at Olive,Food,1650.00,2026-08-07,false,Dinner date
Wi-Fi Broadband Bill,Bills,899.00,2026-08-03,true,Fiber broadband bill
Movie Tickets IMAX,Entertainment,700.00,2026-08-02,false,Weekend movie tickets
Daily Dairy & Bread,Food,280.00,2026-08-21,true,Morning essentials
